"";"Var1";"Freq"
"1";"";43
"2";"AIT";10974
"3";"ARG";5616
"4";"ARK";4833
"5";"ART";3424
"6";"ATT";349399
"7";"AXA";34254
"8";"BOI";5481
"9";"DOD";10176
"10";"DRA";6112
"11";"EBR";8194
"12";"EYB";10657
"13";"EYR";685
"14";"FLO";3108
"15";"FOK";1979
"16";"FTH";8905
"17";"GRE";1913
"18";"HAN";7393
"19";"HLE";6694
"20";"HMA";8056
"21";"HRA";23884
"22";"IOA";12936
"23";"KAB";7888
"24";"KAR";6464
"25";"KAS";3125
"26";"KEF";2372
"27";"KER";5699
"28";"KIL";3225
"29";"KOR";7381
"30";"KOZ";11359
"31";"KYK";6277
"32";"LAK";3090
"33";"LAR";21679
"34";"LAS";3594
"35";"LES";4164
"36";"LEY";1341
"37";"MAG";12039
"38";"MES";6986
"39";"NGR";4544
"40";"PEL";6989
"41";"PIE";7201
"42";"pre";33
"43";"PRE";3606
"44";"RET";4062
"45";"ROD";4789
"46";"SAM";2135
"47";"SER";10061
"48";"THP";2352
"49";"THS";96476
"50";"TRI";7801
"51";"XAL";4058
"52";"XAN";4712
"53";"XIO";2551
"54";"ZAK";2106
